Datatype,Units,Code Minimum,Insulation + Electrification,Airtightness + ERV,PH Windows,EnerPHit
Peak Heat Load,W,10158.43085975258,9384.896654145976,7314.271379627395,5697.196000130203,5395.6947684589195
Peak Heat Load Limit,W,2594.9535938937106,2594.9535938937106,2594.9535938937106,2594.9535938937106,2594.9535938937106
